着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),label,race_id
11,2,2,リネンエイコウ,牝3,52.0,菊沢一樹,2:17.2,クビ,2-2-4-7,38.0,302.7,11.0,434(+4),[東]加藤和宏,戸山光男,,0,201906030804
1,3,6,ダンサール,牝4,54.0,川田将雅,1:59.4,,3-3-3-1,34.3,3.8,2.0,510(+2),[西]須貝尚介,Ｇ１レーシング,"1,537.1",1,201906030809
2,6,11,モクレレ,牡5,55.0,戸崎圭太,2:00.0,3.1/2,13-13-13-12,34.4,11.8,5.0,512(-6),[東]国枝栄,金子真人ホールディングス,610.6,1,201906030809
3,1,1,フリージングレイン,牡5,56.0,Ｍ．デム,2:00.0,クビ,15-15-6-5,34.7,9.1,4.0,522(-4),[東]古賀慎明,社台レースホース,385.3,1,201906030809
4,4,8,ストロングレヴィル,牡5,54.0,石橋脩,2:00.0,ハナ,9-9-9-8,34.6,6.8,3.0,492(+4),[東]堀宣行,村木篤,230.0,0,201906030809
5,3,5,ローリングタワー,牡5,53.0,松岡正海,2:00.0,ハナ,3-5-4-5,34.8,141.9,15.0,448(-8),[東]伊藤伸一,本間茂,150.0,0,201906030809
6,5,9,ショワドゥロワ,牡5,55.0,武豊,2:00.0,アタマ,10-10-9-9,34.6,17.1,7.0,508(-2),[東]鹿戸雄一,村野康司,,0,201906030809
7,6,12,ルヴォワール,牝5,54.0,ルメール,2:00.2,1,12-12-13-12,34.5,2.4,1.0,532(+8),[東]手塚貴久,キャロットファーム,,0,201906030809
8,2,4,サンティーニ,牡4,54.0,三浦皇成,2:00.2,ハナ,7-7-9-9,34.8,53.7,9.0,494(0),[西]羽月友彦,ターフ・スポート,,0,201906030809
9,8,15,スパイクナード,牝5,51.0,野中悠太,2:00.2,アタマ,14-14-15-12,34.4,74.3,13.0,432(-16),[西]佐々木晶,前田幸治,,0,201906030809
10,7,14,レッドカイザー,セ8,55.0,松山弘平,2:00.2,ハナ,7-7-6-3,34.9,57.3,10.0,482(+2),[西]寺島良,東京ホースレーシング,,0,201906030809
11,1,2,ロジティナ,牡4,55.0,福永祐一,2:00.2,クビ,3-3-4-5,35.0,15.7,6.0,548(-2),[東]新開幸一,久米田正明,,0,201906030809
12,7,13,ベイビーステップ,牡5,55.0,岩田康誠,2:00.4,1.1/2,10-10-9-9,34.9,69.5,12.0,490(-4),[東]菊川正達,大塚亮一,,0,201906030809
13,2,3,マイネルズイーガー,牡5,54.0,柴田大知,2:00.5,クビ,1-1-1-2,35.7,39.6,8.0,510(0),[東]武藤善則,サラブレッドクラブ・ラフィアン,,0,201906030809
14,5,10,フォワードカフェ,牡7,54.0,池添謙一,2:00.5,クビ,2-2-2-3,35.6,61.1,11.0,526(-4),[東]和田勇介,西川恭子,,0,201906030809
15,4,7,セガールモチンモク,セ5,55.0,宮崎北斗,2:00.6,クビ,16-16-16-15,34.6,166.5,16.0,492(0),[東]粕谷昌央,小田切有一,,0,201906030809
中,8,16,マイネルスフェーン,牡5,55.0,シュタル,,,6-5-6-16,,94.2,14.0,462(+4),[東]武市康男,サラブレッドクラブ・ラフィアン,,0,201906030809
1,6,12,サートゥルナーリア,牡3,57.0,ルメール,1:58.1,,6-7-7-7,34.1,1.7,1.0,496(-4),[西]角居勝彦,キャロットファーム,"13,301.6",1,201906030811
2,4,7,ヴェロックス,牡3,57.0,川田将雅,1:58.1,アタマ,5-5-4-4,34.4,9.0,4.0,478(-4),[西]中内田充,金子真人ホールディングス,"5,057.6",1,201906030811
3,2,4,ダノンキングリー,牡3,57.0,戸崎圭太,1:58.1,ハナ,4-3-4-5,34.5,5.8,3.0,450(-4),[東]萩原清,ダノックス,"3,128.8",1,201906030811
4,1,1,アドマイヤマーズ,牡3,57.0,Ｍ．デム,1:58.5,2,6-5-4-5,34.9,5.7,2.0,470(-8),[西]友道康夫,近藤利一,"1,700.0",0,201906030811
5,3,6,クラージュゲリエ,牡3,57.0,横山典弘,1:58.7,1.1/2,6-7-7-8,34.7,109.4,14.0,490(+2),[西]池江泰寿,キャロットファーム,"1,100.0",0,201906030811
6,8,16,タガノディアマンテ,牡3,57.0,田辺裕信,1:58.9,1.1/4,16-16-15-10,34.4,183.5,15.0,460(-4),[西]鮫島一歩,八木良司,,0,201906030811
7,6,11,ラストドラフト,牡3,57.0,シュタル,1:59.0,1/2,9-10-10-10,34.8,67.8,10.0,452(0),[東]戸田博文,社台レースホース,,0,201906030811
8,8,17,アドマイヤジャスタ,牡3,57.0,岩田康誠,1:59.0,アタマ,16-16-15-14,34.5,72.1,11.0,508(0),[西]須貝尚介,近藤利一,,0,201906030811
9,7,14,ダディーズマインド,牡3,57.0,宮崎北斗,1:59.2,1.1/2,2-2-2-1,35.8,475.0,17.0,478(-4),[東]青木孝文,田島大史,,0,201906030811
10,8,18,ナイママ,牡3,57.0,柴田大知,1:59.3,1/2,14-14-17-14,34.6,489.5,18.0,458(+8),[東]武藤善則,岡田繁幸,,0,201906030811
11,7,13,ブレイキングドーン,牡3,57.0,福永祐一,1:59.3,アタマ,14-14-13-14,34.9,99.0,13.0,498(0),[西]中竹和也,前田幸貴,,0,201906030811
12,5,10,シュヴァルツリーゼ,牡3,57.0,石橋脩,1:59.7,2,13-12-10-10,35.5,34.8,7.0,478(-10),[東]堀宣行,サンデーレーシング,,0,201906030811
13,2,3,ファンタジスト,牡3,57.0,武豊,1:59.7,アタマ,10-7-7-8,35.8,25.9,5.0,480(-4),[西]梅田智之,廣崎利洋,,0,201906030811
14,1,2,サトノルークス,牡3,57.0,池添謙一,1:59.7,ハナ,10-12-13-14,35.3,35.4,8.0,466(-6),[西]池江泰寿,サトミホースカンパニー,,0,201906030811
15,5,9,メイショウテンゲン,牡3,57.0,三浦皇成,1:59.7,ハナ,18-18-17-18,34.9,51.4,9.0,454(-4),[西]池添兼雄,松本好雄,,0,201906030811
16,7,15,クリノガウディー,牡3,57.0,藤岡佑介,2:00.0,2,2-3-3-2,36.5,240.7,16.0,488(-6),[西]藤沢則雄,栗本博晴,,0,201906030811
17,4,8,ニシノデイジー,牡3,57.0,勝浦正樹,2:00.1,3/4,10-10-10-10,35.9,30.2,6.0,486(-10),[東]高木登,西山茂行,,0,201906030811
18,3,5,ランスオブプラーナ,牡3,57.0,松山弘平,2:00.8,4,1-1-1-2,37.4,83.0,12.0,468(+6),[西]本田優,五影慶則,,0,201906030811
1,6,11,チェサピークベイ,牡3,56.0,三浦皇成,2:01.8,,10-11-11-6,35.2,2.9,2.0,484(+6),[東]戸田博文,吉田勝己,500.0,1,201906030705
2,6,12,エンシュラウド,牡3,56.0,蛯名正義,2:02.1,1.3/4,1-1-1-1,36.4,2.2,1.0,476(-4),[東]藤沢和雄,ゴドルフィン,200.0,1,201906030705
3,4,8,イフユーワナ,牡3,56.0,内田博幸,2:02.5,2.1/2,2-2-3-2,36.4,9.6,4.0,496(+2),[東]田村康仁,山口裕介,130.0,1,201906030705
4,2,4,ゲットリズム,牡3,56.0,川須栄彦,2:02.8,2,7-8-7-6,36.4,38.1,8.0,502(-2),[東]林徹,ジャコモ,75.0,0,201906030705
5,8,16,ドリームリッチ,牡3,56.0,戸崎圭太,2:02.8,クビ,7-8-7-5,36.4,42.9,9.0,432(-12),[東]久保田貴,宇田豊,50.0,0,201906030705
6,7,13,シックガニアン,牡3,56.0,柴田大知,2:03.0,1.1/4,10-12-2-2,37.2,98.0,11.0,454(0),[東]黒岩陽一,ブルースターズファーム,,0,201906030705
7,8,15,ゴーアブロード,牡3,53.0,菅原明良,2:03.3,1.3/4,14-14-15-15,36.1,285.6,13.0,496(+2),[東]大江原哲,ミルファーム,,0,201906030705
8,3,5,ラヴアフェアー,牝3,52.0,野中悠太,2:03.3,クビ,10-10-11-9,36.7,22.9,7.0,404(-6),[東]古賀慎明,吉田和子,,0,201906030705
9,5,9,カルダングリル,牝3,54.0,石橋脩,2:03.5,1.1/4,6-6-3-2,37.4,21.2,6.0,384(+4),[東]和田正一,吉田千津,,0,201906030705
10,1,2,コスモムーンボウ,牡3,54.0,柴田未崎,2:03.7,1.1/2,7-6-10-9,37.2,361.2,14.0,448(+2),[東]粕谷昌央,ビッグレッドファーム,,0,201906030705
11,1,1,スマイルワールド,牝3,54.0,田辺裕信,2:03.8,クビ,17-16-15-15,36.5,13.2,5.0,410(-2),[東]和田勇介,吉田安惠,,0,201906030705
12,7,14,ゴーゴーナカヤマ,牡3,56.0,嘉藤貴行,2:03.9,1/2,16-16-13-13,37.0,91.5,10.0,486(+2),[東]高市圭二,中山牧場,,0,201906030705
13,3,6,オスカーティアラ,牝3,54.0,石川裕紀,2:04.0,3/4,4-3-5-8,37.8,158.8,12.0,466(-4),[東]奥平雅士,森保彦,,0,201906030705
14,4,7,デルマヴォージュ,牡3,56.0,吉田豊,2:04.2,1,14-14-15-15,37.0,382.1,15.0,460(+6),[東]蛯名利弘,浅沼廣幸,,0,201906030705
15,5,10,ジユウノメガミ,牝3,54.0,武士沢友,2:04.4,1.1/2,13-12-13-13,37.6,400.8,16.0,470(+2),[東]加藤士津,ミルファーム,,0,201906030705
16,8,17,ラスベガステソーロ,牡3,56.0,大野拓弥,2:04.7,2,3-3-5-11,38.5,8.8,3.0,522(-4),[東]武井亮,了徳寺健二ホールディングス,,0,201906030705
17,2,3,ケイツーランド,牝3,54.0,松岡正海,2:05.2,3,4-3-7-12,38.9,514.3,17.0,432(0),[東]深山雅史,楠本勝美,,0,201906030705
1,2,3,エレベル,牝3,54.0,田辺裕信,2:01.1,,8-7-8-7,35.3,7.7,4.0,408(-6),[東]中舘英二,吉田照哉,500.0,1,201906030604
2,3,4,グロリアーナ,牝3,51.0,大塚海渡,2:01.3,1.1/2,3-3-4-3,35.9,4.6,2.0,498(-10),[東]木村哲也,サンデーレーシング,200.0,1,201906030604
3,7,12,ブライティアセルバ,牝3,53.0,武藤雅,2:01.4,3/4,2-2-2-1,36.2,3.8,1.0,430(-2),[東]武井亮,小林昌志,130.0,1,201906030604
4,2,2,ネガイ,牝3,52.0,野中悠太,2:01.6,1,10-10-10-10,35.6,5.6,3.0,464(-6),[東]奥村武,石川達絵,75.0,0,201906030604
5,1,1,ナンヨーミカヅキ,牝3,54.0,柴田善臣,2:01.7,1/2,6-6-7-4,36.0,29.4,10.0,384(+2),[東]宗像義忠,中村徳也,50.0,0,201906030604
6,3,5,モッシュピット,牝3,54.0,松岡正海,2:02.1,2.1/2,6-7-6-4,36.5,13.7,7.0,464(-4),[東]古賀慎明,Ｇ１レーシング,,0,201906030604
7,4,7,アナザークイーン,牝3,54.0,柴田大知,2:02.2,1/2,13-14-14-14,35.5,23.8,9.0,442(-4),[東]天間昭一,ビッグレッドファーム,,0,201906030604
8,6,11,アキノコマチ,牝3,54.0,江田照男,2:02.2,クビ,8-9-8-7,36.4,8.7,6.0,426(0),[東]田中剛,穐吉正孝,,0,201906030604
9,6,10,ココリアッピア,牝3,54.0,内田博幸,2:02.3,3/4,10-10-10-10,36.4,16.9,8.0,444(+4),[東]古賀慎明,美崎光二郎,,0,201906030604
10,5,9,オーレア,牝3,54.0,嘉藤貴行,2:02.6,2,1-1-1-2,37.4,144.6,12.0,436(+6),[東]高橋祥泰,ビッグレッドファーム,,0,201906030604
11,8,15,エリーグローリー,牝3,51.0,菅原明良,2:02.7,クビ,12-12-12-12,36.3,257.5,13.0,460(0),[東]高橋文雅,谷川正純,,0,201906030604
12,8,14,アレクサンドレッタ,牝3,54.0,柴山雄一,2:02.7,アタマ,14-13-12-12,36.3,93.2,11.0,472(+6),[東]小笠倫弘,根岸朋弘,,0,201906030604
13,7,13,エスデス,牝3,54.0,石川裕紀,2:03.1,2.1/2,3-3-3-4,37.8,7.9,5.0,440(+8),[東]田中博康,田原邦男,,0,201906030604
14,4,6,アウトストリップ,牝3,54.0,宮崎北斗,2:03.3,1.1/4,3-3-4-7,37.8,275.3,14.0,434(-4),[東]矢野英一,岡田牧雄,,0,201906030604
取,5,8,ヤマニンスマイリー,牝3,54.0,武士沢友,,,,,---,,計不,[東]稲垣幸雄,土井肇,,0,201906030604
1,3,6,ディヴァイン,牡3,56.0,田辺裕信,2:00.8,,8-7-7-5,36.0,5.0,3.0,496(-4),[東]小西一男,小泉修,500.0,1,201906030505
2,4,8,モンブランテソーロ,牡3,56.0,三浦皇成,2:00.8,クビ,12-11-11-6,35.7,4.4,1.0,476(0),[東]武井亮,了徳寺健二ホールディングス,200.0,1,201906030505
3,1,2,ミケランジェロ,牡3,56.0,戸崎圭太,2:00.9,3/4,1-1-1-1,36.8,6.1,5.0,462(+14),[東]栗田徹,梅澤明,130.0,1,201906030505
4,1,1,トランスポーター,牡3,55.0,武藤雅,2:01.1,1.1/4,4-3-2-2,36.7,4.9,2.0,472(0),[東]戸田博文,安原浩司,75.0,0,201906030505
5,3,5,シゲルグリンダイヤ,牡3,56.0,蛯名正義,2:01.2,1/2,6-5-4-2,36.6,5.6,4.0,478(+4),[東]中野栄治,森中蕃,50.0,0,201906030505
6,8,16,コンステレーション,牝3,54.0,丹内祐次,2:01.4,3/4,8-10-7-6,36.6,69.6,11.0,376(-6),[東]手塚貴久,サラブレッドクラブ・ラフィアン,,0,201906030505
7,5,10,メイショウジザイ,牡3,56.0,内田博幸,2:01.6,1.1/2,17-17-10-6,36.6,102.2,14.0,496(-4),[東]和田勇介,松本好雄,,0,201906030505
8,8,17,ルッキングフライ,牡3,53.0,菅原明良,2:01.6,アタマ,4-5-6-6,36.9,313.1,18.0,440(-10),[東]尾形和幸,岡田牧雄,,0,201906030505
9,6,12,ハードエイム,牡3,56.0,伴啓太,2:01.7,クビ,14-14-14-10,36.4,63.8,10.0,438(+2),[東]小桧山悟,新井衛,,0,201906030505
10,8,18,ナミブ,牡3,56.0,大野拓弥,2:02.3,3.1/2,6-7-7-10,37.5,8.3,6.0,448(0),[東]南田美知,ミルファーム,,0,201906030505
11,5,9,ゴーアブロード,牡3,56.0,武士沢友,2:02.3,クビ,15-15-16-15,36.6,219.3,16.0,494(-2),[東]大江原哲,ミルファーム,,0,201906030505
12,2,3,プッシーウィロー,牝3,52.0,野中悠太,2:02.5,1.1/4,2-2-2-2,38.2,46.7,9.0,408(-2),[東]佐藤吉勝,田頭勇貴,,0,201906030505
13,4,7,タイムレスワールド,牡3,56.0,江田照男,2:02.5,ハナ,12-12-14-15,37.1,25.1,7.0,472(0),[東]武市康男,飯田正剛,,0,201906030505
14,7,14,デルマエトワール,牝3,54.0,黛弘人,2:02.7,1,11-12-11-13,37.6,293.4,17.0,488(-2),[東]菊沢隆徳,浅沼廣幸,,0,201906030505
15,7,15,アンクレットハート,牝3,54.0,伊藤工真,2:03.3,3.1/2,15-16-17-17,37.3,89.1,13.0,442(0),[東]林徹,ライオンレースホース,,0,201906030505
16,2,4,ヴェリートレビアン,牡3,56.0,四位洋文,2:03.8,3,3-3-4-13,39.2,144.2,15.0,466(+2),[東]大和田成,嶋田賢,,0,201906030505
17,7,13,エムティーカイザ,牡3,56.0,松岡正海,2:03.9,3/4,18-18-18-18,37.6,36.5,8.0,512(0),[東]加藤士津,門別牧場,,0,201906030505
18,6,11,タケショウダイヤ,牝3,54.0,石川裕紀,2:05.0,7,8-7-11-10,39.9,85.1,12.0,466(-4),[東]相沢郁,ナイト商事,,0,201906030505
1,1,1,マイネルファンロン,牡4,57.0,丹内祐次,2:12.3,,1-1-1-1,34.4,5.2,3.0,470(-6),[東]手塚貴久,サラブレッドクラブ・ラフィアン,"1,836.8",1,201906030510
2,4,4,アクート,牡6,57.0,ルメール,2:12.5,1,2-2-3-2,34.3,3.7,2.0,440(+6),[東]宗像義忠,サンデーレーシング,734.8,1,201906030510
3,8,8,レッドイグニス,セ6,57.0,戸崎圭太,2:12.5,クビ,2-2-2-2,34.4,5.9,4.0,468(+10),[東]鹿戸雄一,東京ホースレーシング,462.4,1,201906030510
4,7,7,レノヴァール,牡4,57.0,四位洋文,2:12.6,クビ,7-7-7-8,34.1,7.3,5.0,520(+4),[西]高野友和,キャロットファーム,270.0,0,201906030510
5,3,3,ゴールドギア,牡4,57.0,三浦皇成,2:12.6,クビ,8-8-8-2,33.9,2.7,1.0,474(-4),[東]伊藤圭三,有馬博文,182.0,0,201906030510
6,5,5,フェイズベロシティ,牝6,55.0,松岡正海,2:13.0,2.1/2,6-4-6-5,34.7,10.3,6.0,456(-2),[東]萩原清,池谷誠一,,0,201906030510
7,2,2,グランドサッシュ,牡8,57.0,石川裕紀,2:13.1,3/4,4-4-3-5,34.9,57.8,7.0,466(-6),[東]武市康男,シルクレーシング,,0,201906030510
8,6,6,ジュンスパーヒカル,セ7,57.0,武藤雅,2:13.6,3,4-6-3-5,35.4,58.6,8.0,466(+8),[西]友道康夫,河合純二,,0,201906030510
1,5,5,ヒシヴィクトリー,牡4,56.0,木幡巧也,2:02.4,,2-2-2-2,35.0,2.4,1.0,482(-6),[東]牧光二,阿部雅英,750.0,1,201906030408
2,4,4,ライトカラカゼ,牡4,57.0,吉田豊,2:02.6,1.1/4,9-9-6-4,34.9,4.0,3.0,472(+4),[東]相沢郁,星野壽市,300.0,1,201906030408
3,3,3,ブルースカイハーツ,牡5,57.0,嶋田純次,2:03.1,3,4-5-6-4,35.5,16.9,5.0,450(+10),[東]手塚貴久,ヒダカ・ブリーダーズ・ユニオン,190.0,1,201906030408
4,1,1,ラッキーアドバンス,牡5,57.0,武士沢友,2:03.3,1.1/4,6-5-9-7,35.5,32.4,7.0,490(-2),[東]勢司和浩,柳内正基,92.5,0,201906030408
4,7,7,プランスシャルマン,牡6,57.0,三浦皇成,2:03.3,同着,8-8-6-7,35.6,17.0,6.0,466(-8),[東]畠山吉宏,村野康司,92.5,0,201906030408
6,2,2,タイプムーン,牝4,55.0,宮崎北斗,2:03.4,クビ,2-2-4-4,35.9,52.9,9.0,466(+6),[東]青木孝文,コスモヴューファーム,,0,201906030408
7,8,9,ハギノカエラ,牝6,55.0,石橋脩,2:03.4,アタマ,6-7-2-2,36.0,7.3,4.0,412(-4),[西]鮫島一歩,安岡美津子,,0,201906030408
8,7,8,エールグリーツ,牝4,55.0,大野拓弥,2:03.6,1.1/2,1-1-1-1,36.3,3.8,2.0,428(+10),[東]林徹,社台レースホース,,0,201906030408
9,8,10,ラントシャフト,牝5,55.0,丹内祐次,2:03.6,アタマ,10-10-10-9,35.6,198.0,10.0,460(0),[東]佐藤吉勝,サラブレッドクラブ・ラフィアン,,0,201906030408
10,6,6,ラントカルテ,牡4,57.0,津村明秀,2:04.3,4,4-4-4-9,36.8,40.4,8.0,444(-19),[東]鹿戸雄一,Ｇ１レーシング,,0,201906030408
1,1,1,マイネルヴンシュ,牡5,57.5,柴田大知,2:34.9,,8-7-5-4,37.0,1.7,1.0,462(-10),[東]水野貴広,サラブレッドクラブ・ラフィアン,"1,522.4",1,201906030409
2,8,10,シャリオヴァルト,セ6,54.0,三浦皇成,2:35.2,2,7-7-9-4,37.0,13.8,5.0,454(+6),[東]尾関知人,前田幸治,606.4,1,201906030409
3,7,8,ミルトプレスト,牡5,56.0,柴田善臣,2:35.2,クビ,3-3-2-2,37.7,5.8,3.0,502(+6),[東]佐藤吉勝,永山勝敏,383.2,1,201906030409
4,2,2,マスラオ,セ5,54.0,武藤雅,2:35.5,1.3/4,3-3-5-6,37.6,19.0,7.0,434(-10),[東]金成貴史,Ｇリビエール・レーシング,230.0,0,201906030409
5,5,5,ブラックオニキス,牝5,54.0,大野拓弥,2:35.5,ハナ,5-5-5-6,37.5,14.2,6.0,442(+8),[東]加藤和宏,岡田牧雄,150.0,0,201906030409
6,6,6,ハナザカリ,牝4,52.0,江田照男,2:35.5,ハナ,1-1-1-1,38.0,10.1,4.0,490(+8),[東]粕谷昌央,岡田壮史,,0,201906030409
7,4,4,コスモアルヘナ,牡7,52.0,丹内祐次,2:35.7,3/4,6-6-5-9,37.8,120.1,8.0,482(+2),[東]武市康男,ビッグレッドファーム,,0,201906030409
8,8,9,ナムラマル,牡5,55.0,内田博幸,2:35.8,3/4,8-9-2-3,38.3,5.2,2.0,530(+14),[西]清水久詞,奈村信重,,0,201906030409
9,3,3,ビオラフォーエバー,セ8,50.0,川又賢治,2:37.1,8,2-2-4-6,39.4,155.2,9.0,474(+14),[東]加藤士津,熊澤浩樹,,0,201906030409
取,7,7,バリングラ,セ5,56.0,石橋脩,,,,,---,,計不,[東]堀宣行,キャロットファーム,,0,201906030409
1,1,1,レッドサイオン,牡3,56.0,蛯名正義,2:02.5,,9-8-7-5,35.1,2.5,1.0,454(-8),[東]藤沢和雄,東京ホースレーシング,500.0,1,201906030305
2,8,14,オセアグレイト,牡3,54.0,野中悠太,2:02.6,3/4,3-3-4-2,35.4,8.4,3.0,486(0),[東]菊川正達,ＩＨＲ,200.0,1,201906030305
3,4,6,シュテルンシチー,牡3,56.0,三浦皇成,2:02.7,1/2,11-11-10-8,35.1,9.6,4.0,454(-2),[東]池上昌和,友駿ホースクラブ,130.0,1,201906030305
4,7,12,アースドラゴン,牡3,56.0,丸山元気,2:02.9,1.1/4,6-7-2-2,35.9,20.1,8.0,480(0),[東]根本康広,松山増男,75.0,0,201906030305
5,3,4,ラステラデファルコ,牡3,56.0,ミナリク,2:03.1,1.1/4,13-12-12-10,35.4,10.3,5.0,476(-6),[東]武井亮,武田修,50.0,0,201906030305
6,3,5,ナミブ,牡3,56.0,杉原誠人,2:03.1,アタマ,5-5-7-8,35.7,17.5,7.0,448(0),[東]南田美知,ミルファーム,,0,201906030305
7,2,3,シックガニアン,牡3,56.0,柴田大知,2:03.2,1/2,6-5-4-5,35.9,76.2,10.0,454(+2),[東]黒岩陽一,ブルースターズファーム,,0,201906030305
8,6,11,ラヴィンジャー,牝3,51.0,藤田菜七,2:03.3,1/2,1-1-1-1,36.5,11.0,6.0,424(-2),[東]小島茂之,丸山担,,0,201906030305
9,2,2,トーセンダイキリ,牡3,56.0,嶋田純次,2:03.9,3.1/2,8-8-10-10,36.3,223.4,12.0,492(+2),[東]小笠倫弘,島川隆哉,,0,201906030305
10,8,15,トリックスター,牡3,56.0,大野拓弥,2:03.9,ハナ,2-2-2-2,37.0,3.3,2.0,488(-2),[東]鹿戸雄一,村野康司,,0,201906030305
11,7,13,マイネルオルガノ,牡3,56.0,丹内祐次,2:04.0,クビ,9-8-7-10,36.6,249.7,13.0,478(-6),[東]栗田徹,サラブレッドクラブ・ラフィアン,,0,201906030305
12,6,10,ショウチクバイ,牡3,56.0,松岡正海,2:04.6,4,3-3-4-7,37.4,122.3,11.0,486(+4),[東]宗像義忠,ミルファーム,,0,201906030305
13,5,9,デルマヴォージュ,牡3,56.0,菅原隆一,2:04.9,1.3/4,15-14-15-15,36.3,281.7,14.0,454(-8),[東]蛯名利弘,浅沼廣幸,,0,201906030305
14,4,7,ケイツーランド,牝3,51.0,山田敬士,2:05.0,1/2,12-12-14-13,36.8,386.0,15.0,432(-4),[東]深山雅史,楠本勝美,,0,201906030305
15,5,8,スチームパンク,牡3,55.0,武藤雅,2:05.4,2.1/2,14-14-12-14,37.7,66.1,9.0,506(+4),[東]大和田成,金子真人ホールディングス,,0,201906030305
1,3,3,カウディーリョ,牡3,56.0,石橋脩,2:14.4,,7-7-7-3,34.1,6.4,3.0,444(+20),[東]堀宣行,キャロットファーム,"1,021.7",1,201906030309
2,4,4,マコトジュズマル,牡3,56.0,川田将雅,2:14.4,クビ,6-6-4-1,34.4,4.1,2.0,478(+2),[西]鮫島一歩,ディアマント,406.2,1,201906030309
3,2,2,バラックパリンカ,牡3,56.0,和田竜二,2:14.6,1.1/4,5-3-4-6,34.7,10.4,6.0,434(-2),[西]平田修,社台レースホース,253.1,1,201906030309
4,1,1,スマイル,牡3,56.0,ミナリク,2:14.7,クビ,8-8-8-7,34.1,2.4,1.0,524(-2),[東]堀宣行,石川達絵,150.0,0,201906030309
5,8,8,ペルソナデザイン,牡3,56.0,大野拓弥,2:15.1,2.1/2,4-5-2-3,35.3,7.4,4.0,474(-4),[東]大竹正博,Ｇ１レーシング,100.0,0,201906030309
6,7,7,ツクバソヴァール,牡3,56.0,丹内祐次,2:15.3,1,3-3-4-7,35.4,20.7,7.0,468(-4),[東]杉浦宏昭,細谷武史,,0,201906030309
7,6,6,カイザースクルーン,牡3,56.0,津村明秀,2:15.5,1.1/4,1-1-1-2,36.0,7.9,5.0,484(-2),[東]相沢郁,サンデーレーシング,,0,201906030309
8,5,5,ミトノマルーン,牡3,56.0,松山弘平,2:15.5,アタマ,2-2-2-3,35.8,21.3,8.0,490(+8),[西]大橋勇樹,ロイヤルパーク,,0,201906030309
1,5,8,レオ,牡3,56.0,三浦皇成,2:15.4,,11-11-10-6,36.2,5.3,2.0,522(-2),[東]伊藤大士,ニッシンレーシング,500.0,1,201906030204
2,8,15,ウォルフズハウル,牡3,56.0,藤岡佑介,2:15.6,1.1/4,2-2-2-2,37.1,13.3,7.0,456(0),[東]栗田徹,ゴドルフィン,200.0,1,201906030204
3,7,13,レッドクーゲル,牡3,56.0,戸崎圭太,2:15.8,1,5-5-5-6,37.0,6.9,4.0,424(-8),[東]尾関知人,東京ホースレーシング,130.0,1,201906030204
4,5,9,ヘヴンリータイム,セ3,55.0,木幡巧也,2:15.8,ハナ,15-15-12-11,36.4,182.9,15.0,494(-6),[東]和田正一,伊藤正徳,75.0,0,201906030204
5,4,7,エフェクトオン,牡3,56.0,蛯名正義,2:15.8,クビ,8-7-7-3,36.8,5.5,3.0,442(-4),[東]久保田貴,社台レースホース,50.0,0,201906030204
6,8,14,イフユーワナ,牡3,56.0,津村明秀,2:15.8,アタマ,1-1-1-1,37.4,12.0,6.0,494(+4),[東]田村康仁,山口裕介,,0,201906030204
7,6,11,フライクーゲル,牡3,56.0,柴田大知,2:15.9,クビ,3-3-2-3,37.3,26.8,10.0,478(+2),[東]黒岩陽一,水上行雄,,0,201906030204
8,6,10,ヤギリオーディン,牡3,56.0,松岡正海,2:15.9,クビ,3-3-4-3,37.2,4.1,1.0,506(+2),[東]小西一男,内田ヤエ子,,0,201906030204
9,1,1,ココリガストン,牡3,54.0,野中悠太,2:16.1,1.1/4,7-7-7-9,37.1,36.0,12.0,510(0),[東]古賀慎明,美崎光二郎,,0,201906030204
10,3,4,カミノシルヴィ,牝3,54.0,内田博幸,2:16.4,1.1/2,13-13-10-9,37.2,15.3,8.0,438(0),[東]浅野洋一,村上正喜,,0,201906030204
11,2,2,コトブキアゲート,牡3,56.0,ミナリク,2:16.7,2,8-10-12-13,37.3,9.1,5.0,484(-8),[東]金成貴史,尾上松壽,,0,201906030204
12,4,6,ニシノアレグロ,牡3,56.0,岩部純二,2:16.7,ハナ,13-14-14-11,37.2,144.2,14.0,446(0),[東]萱野浩二,西山茂行,,0,201906030204
13,7,12,ゲットリズム,牡3,56.0,柴山雄一,2:16.8,3/4,5-5-5-6,38.0,22.2,9.0,504(-2),[東]林徹,ジャコモ,,0,201906030204
14,3,5,ダークオブザナイト,牡3,56.0,丹内祐次,2:17.6,5,8-7-9-13,38.5,106.2,13.0,494(0),[東]尾関知人,ノルマンディーサラブレッドレーシング,,0,201906030204
15,2,3,ヴェリートレビアン,牡3,56.0,田辺裕信,2:17.8,1,12-12-14-15,38.2,29.1,11.0,464(0),[東]大和田成,嶋田賢,,0,201906030204
1,5,5,クレッシェンドラヴ,牡5,57.0,内田博幸,2:00.2,,9-8-6-6,35.6,5.3,4.0,488(0),[東]林徹,広尾レース,"1,841.0",1,201906030210
2,8,9,シンギュラリティ,牡5,57.0,戸崎圭太,2:00.2,クビ,5-5-4-3,35.7,4.1,2.0,500(+6),[西]松田国英,吉田勝己,736.0,1,201906030210
